ending	size	none	gzip	bzip2	lzma	snappy	deflate	lz4	lz4hc	pfor
JPG	102400	2196	5502348	33982807	28806904	187010	5583227	635688	3796931	2048696
JPG	102400	2195	7086628	27196273	29254850	200185	5206644	437699	10822808	2106519
JPG	102400	2928	18852906	37768027	33416652	179691	5467215	494425	5154677	2320611
JPG	102400	2196	7041980	31722580	36402962	188109	5065380	436968	3383752	2242294
JPG	4589	2196	266059	2494446	1225265	38793	289481	53431	217752	995436
JPG	102400	2196	10629577	23336761	27622993	1084367	5235922	524800	5315704	2609361
JPG	102400	2195	5795855	26805784	25762039	252885	5222381	437334	10664344	2153363
JPG	102400	2561	5200789	40172811	32088184	224339	5106735	432941	3457678	2302678
JPG	102400	2196	5167486	35519146	35453637	189938	6797513	435869	3283477	2886399
JPG	102400	1830	5031711	25818399	42718859	173835	5198227	443920	3605895	2543852
JPG	102400	2196	15780960	32582974	26229016	204943	5179928	440627	3346423	2215944
JPG	102400	2196	5262638	31334287	27777066	195794	5135281	463683	9871654	2075045
JPG	102400	2928	5619457	25880613	38861543	182619	5389995	1566714	3252369	2184470
JPG	102400	3294	6069966	31557895	36020158	183717	6013973	505037	3355938	2308168
JPG	102400	1829	5255318	32245185	31493850	241906	5307286	627637	3959788	2014295
JPG	102400	2562	13524394	37077077	25408880	184082	5703631	443920	23571714	2801129
JPG	102400	1830	5533455	30144888	51619597	179691	5062087	475760	3326660	2061870
JPG	102400	2195	6243070	25433400	27337903	175665	5386702	424525	3452919	2608263
JPG	102400	1830	5347908	24361109	26365157	183717	5003532	561031	3365087	2136529
JPG	102400	10247	10818783	28934627	42035960	178593	5134183	422328	3556855	2035887
JPG	102400	1829	5278375	33673929	24921042	181887	18186476	531753	3225653	2077973
JPG	102400	2562	5136013	28095093	24936779	203113	5147724	421230	3634807	2139822
JPG	102400	2196	6535113	24879322	25734226	193232	5033175	443920	3567102	2157022
JPG	102400	2196	5108199	33131928	25238337	280333	6865218	410618	3614312	2071020
JPG	102400	2196	6778849	26571564	34755002	181886	12238744	606777	3440111	2516404
JPG	53848	2562	2566543	14886532	30819368	110157	2513111	263863	1779343	1863881
JPG	102400	2196	5380480	23471438	29195563	866615	5116616	548588	3615411	2360868
JPG	102400	2562	5426958	34204584	31709040	192500	5269957	405860	3892449	3447796
JPG	102400	2562	5716073	25099635	49774380	193963	5011217	563593	3760334	2416861
JPG	102400	2196	5110395	25120861	24289379	193964	5188346	428916	10115756	2033326
JPG	102400	2927	14886166	36296465	26863241	179325	6639049	516749	4054939	2087489
JPG	102400	2196	5708389	24547021	26154725	178593	5178831	451973	3823281	2091148
JPG	102400	2561	5454405	24630828	25391678	203113	5081483	519311	3651275	2145312
JPG	102400	2196	5181758	25370086	37611392	209334	5039763	436235	3510011	2329028
JPG	102400	2196	22078193	26060670	27475873	182984	6091558	472466	13405088	8149037
JPG	102400	2195	5371697	31894221	27519057	184448	6057158	1286016	4002606	2274499
JPG	102400	2195	19330861	25055353	34872478	178592	5254587	451606	11919253	2115668
JPG	102400	2196	5715708	25918675	32688740	183716	5321193	442457	4459701	2274133
JPG	102400	2196	8337878	30242236	27554191	174568	10607253	445018	3565638	3839749
JPG	102400	2927	5289720	24653519	25049132	182253	5058427	434405	3523186	2001486
JPG	102400	2195	5600062	27005603	27535526	188474	5115152	435870	3406442	1978064
JPG	102400	2562	5004263	26263783	33839713	179691	5162728	484910	3243220	2008805
JPG	44466	2196	2048330	18711642	10403408	102838	2560687	229097	1555003	1342009
AVI	102400	2196	5402072	23968425	28176338	965061	5373526	504305	3702511	2071020
AVI	102400	2562	5218722	25035224	43399562	180789	5247267	719129	4608285	2342203
AVI	102400	2196	8753985	29835643	45163167	192500	5297771	509063	4865561	2229484
AVI	102400	2562	5936387	32782793	26375404	185546	5203717	606411	3305800	1990507
AVI	102400	3294	5432082	27075869	27797926	185546	5055865	567984	3720078	2116034
AVI	102400	2196	6550849	24995700	29977639	199088	7449304	479786	3320805	2768191
AVI	102400	2195	5835746	32854889	36791986	232024	5029149	479420	4409197	2022346
AVI	102400	1830	5232994	25858289	26035419	212994	5165290	518578	3480734	2092246
AVI	102400	2195	6973544	27558217	26429202	181521	5276911	458560	3185396	2539460
AVI	102400	3659	5576274	31123489	36187040	194696	5133451	468441	3497202	2081999
AVI	102400	2196	5134183	33654167	31613888	187742	5391459	536145	3288233	2015393
AVI	102400	2196	6111687	26019316	26246583	181887	5816349	444653	3436085	2196548
AVI	102400	2196	5224211	26063599	26428470	176763	6209767	465147	3642492	2244124
AVI	102400	2196	5582495	33034947	24705120	190670	6088265	510527	3466461	2132137
AVI	102400	2562	5216891	26959125	34740363	184448	5091730	486740	9384549	2531409
AVI	102400	2196	5383041	26088484	28244775	191402	5184320	706320	3590524	2175687
AVI	102400	2195	5228236	53520441	26223526	189206	5184686	479420	4096660	2003681
AVI	102400	2195	5395851	29741955	35985024	597262	5048912	552247	4645614	1968183
AVI	102400	2196	6688088	24331466	34577506	203845	5047814	422695	3505985	2171662
AVI	102400	2562	5341321	24715733	25485367	200917	5611772	457462	3387411	1960864
AVI	102400	2562	5210670	31013698	26422614	247762	7366961	491496	3864635	2042475
AVI	102400	2195	5184321	29074427	28589152	225803	5164192	459291	3870857	4080923
AVI	102400	2562	5543702	29359517	33463862	692048	5558341	513820	18542930	3463899
AVI	102400	2196	5994942	31382595	27034149	179691	5202619	473198	3262616	1973672
AVI	102400	2562	5167486	26250243	29018068	191402	5119178	478688	3383020	2058943
AVI	102400	2561	5407196	24608871	43716125	217752	5249829	457461	3728494	2553733
AVI	102400	2928	12068568	31388451	24076385	321687	5076360	451240	4782852	1949152
AVI	102400	2196	8929283	28933163	26798099	208968	5041592	471369	3384849	2056015
AVI	102400	2562	5477828	26874952	28012019	197257	5253488	538341	4140210	2167636
AVI	102400	2928	11068740	31558626	30935014	184449	5127229	442457	3698486	10204686
AVI	102400	2562	5097219	24343543	39541147	239344	5203717	473564	3711660	2143481
AVI	102400	2195	5024392	26704776	25406317	225071	5044886	454534	3312022	2036619
AVI	102400	2196	5177367	28198662	26986206	175665	5664472	449044	3243586	2106519
AVI	102400	2562	5050742	32649581	40167687	400005	5099416	611901	4002240	2386485
AVI	102400	2562	5469411	25355814	28265635	187742	5045984	573108	3213942	1993435
AVI	102400	2561	5749377	27298012	47743982	295703	6830084	459657	3645054	2521529
AVI	102400	2561	5168584	29426489	32558820	204577	5439401	519310	12068934	2415397
AVI	102400	2561	5231897	26034686	33453981	300095	24357815	455631	3257492	3095002
AVI	102400	2561	5153213	28757864	27707166	186644	5145893	473199	4250367	2416494
AVI	102400	2561	5626412	33709793	26449695	191768	4992919	498084	3450358	2055649
AVI	102400	2196	6342613	25393142	46602890	193232	5242144	450508	3502326	2069191
AVI	102400	2196	5288256	27762427	24519208	182985	5198594	442823	5813788	2389413
AVI	102400	2196	7111148	35680904	24480415	189206	5138574	438797	3559417	8685182
AVI	102400	2196	5358887	24826988	26451525	208603	5190176	434406	11318331	2127379
AVI	102400	2195	5180661	24240705	25086094	242272	5256417	531753	3379726	2183373
AVI	102400	2195	5409026	24656447	33107042	184083	5225309	454534	3513671	1962327
AVI	102400	2562	5303261	24797710	34900657	212995	5099782	515285	3557221	7770259
AVI	102400	2562	5280570	31633285	29071500	208602	5012681	429282	3747160	2676333
AVI	102400	2196	8648219	26072748	27717048	181886	5059525	432576	5352300	2000022
AVI	102400	3294	5178465	27963345	34619959	178959	9685010	466976	3513670	3620534
AVI	102400	2562	5126131	25118666	25317753	182985	5161264	452338	5803541	1974404
AVI	102400	2196	5876734	35120971	40502549	185180	5683502	453070	3591256	2292065
AVI	102400	2561	7708776	24467972	26760769	179691	6569148	518213	3415957	2024907
AVI	102400	2562	6634657	24272178	24904208	207870	5078921	430746	3181737	2105055
AVI	102400	2195	5099782	25874758	28671129	198356	5319363	570912	3493909	8015824
AVI	102400	2928	6094120	30467672	34355363	186278	5740594	449045	3493176	2154461
AVI	102400	2562	5180294	26061402	33281610	176763	5402804	436601	3439379	1991605
AVI	102400	2196	14615714	25873660	27205422	234587	7022950	438797	9435419	2337079
AVI	102400	2196	5283132	36361241	30121100	191036	5050376	668992	3332882	2042841
AVI	102400	2195	5121740	25228456	35614664	189938	11300398	446848	3764360	4264273
AVI	102400	2562	7345368	24234118	25964420	205675	5445623	509795	3177711	1994533
AVI	102400	2562	5313141	24880419	33856548	197990	5534919	439895	3453652	2176786
AVI	102400	2562	5119178	24659008	25251146	173835	5229334	517480	3215405	2461510
AVI	102400	2561	5297039	26616577	25022781	182618	9190220	491863	3432059	2111277
AVI	102400	2561	5310214	27541016	25602477	176764	6065940	462585	3208087	2257665
AVI	102400	2562	5167852	25016194	44439646	178959	11976343	464049	3375700	3074874
AVI	102400	2196	5451478	26617309	29243871	227267	5033907	432575	4816887	2120791
AVI	102400	2195	5248731	29843694	63345618	186644	5133451	529557	3477805	2202403
AVI	102400	2561	5293745	25024611	33855449	222876	5067576	586283	3612848	2087489
AVI	102400	2561	5149187	26594253	24499080	177861	6441791	441725	3269570	1998192
AVI	102400	2196	5121007	24840895	24989845	180423	5682038	531388	3405710	2041742
AVI	102400	2195	5198593	37454025	24616189	192134	5448184	447581	3619802	2127013
AVI	102400	2196	5331074	27044762	26062866	176763	7395873	474296	6087898	2328297
AVI	102400	2562	5122106	24432474	27880636	185912	5309481	528825	4473242	2093710
AVI	102400	2561	5505641	32961021	47660175	213726	5025856	483811	3432792	2962521
AVI	102400	2562	5067210	26149967	27051350	394149	5664106	455266	10071840	7933847
AVI	102400	2195	5263004	26219135	27198834	185912	5303261	23992944	3488053	2053454
AVI	102400	2927	5043422	26392239	28206714	184449	4969131	430014	3361794	2053819
AVI	102400	4392	5276179	25126716	26126544	176397	5177733	393417	3717882	2368553
AVI	102400	2562	13337750	40245638	35274679	178227	5146260	407689	4505082	2203867
AVI	102400	2562	5194933	27392067	26323802	208236	5249463	380242	3607359	2203867
AVI	102400	2196	5249463	25136964	25475486	181154	9916303	394515	3236998	3258224
AVI	102400	2562	5443792	26677328	25807786	188475	5963834	400005	3224189	7921771
AVI	102400	2196	5010851	25021683	42291041	186278	5172975	439895	10885024	2099565
AVI	102400	2196	5188347	24466874	30001794	200917	5211037	496254	3504156	2413201
AVI	102400	2196	5173341	25961493	31621574	183351	5131255	5185053	3938561	2254736
AVI	102400	2562	5694116	64875735	27859409	191768	5081117	391954	3646518	2021248
AVI	102400	2196	5095024	24689750	32666050	186278	5296307	410983	9613281	2779537
AVI	102400	2562	15138684	33646115	24874198	188841	5025855	400004	3329222	2016490
AVI	102400	2562	5070138	24699997	25155995	195427	5048546	410984	3565272	1983554
AVI	102400	2562	5724857	30848646	27124177	224705	5146626	425622	3205158	2594722
AVI	102400	2928	5477095	26248779	30440956	1267718	5101246	518579	3636270	2324637
AVI	102400	2196	6543897	31599249	33519490	211164	4974254	428916	3310191	1979528
AVI	102400	2196	5059159	26108247	26110809	196891	5181393	642276	3357768	2256200
AVI	102400	2561	5145894	24863951	29031242	182252	7392213	462951	3257858	2151533
AVI	102400	2562	12758054	29378913	36264259	207139	6115346	459291	3279451	2062969
AVI	102400	2195	7817470	24593866	25527819	217020	5367305	472832	3096100	2071386
AVI	102400	2196	5052571	30211128	32041706	194329	5216892	503940	6394946	2021248
